threshold	alignment_size	SNPs
80	1250	82364
80	1000	75271
80	750	66149
80	500	56989
80	250	43961
80	100	33411
80	75	30702
80	50	28350
80	25	22420
80	10000	177501
80	9750	175458
80	9500	174214
80	9250	172239
80	9000	170555
80	8750	168730
80	8500	167163
80	8250	165451
80	8000	163346
80	7750	161020
80	7500	159002
80	7250	157553
80	7000	155309
80	6750	153506
80	6500	150142
80	6250	147877
80	6000	145801
80	5750	142969
80	5500	140375
80	5250	137389
80	5000	135296
80	4750	132529
80	4500	130693
80	4250	127957
80	4000	124826
80	3750	122072
80	3500	117344
80	3250	115293
80	3000	112436
80	2750	109324
80	2500	105328
80	2250	102861
80	2000	99265
80	1750	94290
80	1500	88606
80	1250	82987
80	1000	77425
80	750	70275
80	500	61592
80	250	47161
80	100	33607
80	75	31020
80	50	27318
80	25	23666
80	10000	177361
80	9750	175755
80	9500	174498
80	9250	172457
80	9000	170832
80	8750	168595
80	8500	166083
80	8250	164455
80	8000	162555
80	7750	160766
80	7500	159446
80	7250	157722
80	7000	155101
80	6750	152867
80	6500	150941
80	6250	149383
80	6000	147218
80	5750	145292
80	5500	142344
80	5250	139910
80	5000	138102
80	4750	134429
80	4500	131507
80	4250	129303
80	4000	127057
80	3750	124205
80	3500	122149
80	3250	118822
80	3000	115777
80	2750	111947
80	2500	105973
80	2250	100840
80	2000	97163
80	1750	92416
80	1500	86916
80	1250	80883
80	1000	74501
80	750	68468
80	500	57407
80	250	44634
80	100	35865
80	75	32080
80	50	27703
80	25	24437
70	10000	183427
70	9750	181566
70	9500	180123
70	9250	178946
70	9000	176826
70	8750	174950
70	8500	172998
70	8250	171785
70	8000	169920
70	7750	168186
70	7500	166644
70	7250	164373
70	7000	162702
