threshold	alignment_size	SNPs
95	750	13430
95	500	11409
95	250	7432
95	100	4599
95	75	3553
95	50	2969
95	25	1401
80	10000	65492
80	9750	64625
80	9500	63723
80	9250	62851
80	9000	62053
80	8750	61247
80	8500	60280
80	8250	59484
80	8000	58716
80	7750	57086
80	7500	55618
80	7250	54573
80	7000	53515
80	6750	52306
80	6500	51463
80	6250	50062
80	6000	49129
80	5750	47955
80	5500	46416
80	5250	45361
80	5000	43814
80	4750	42488
80	4500	41300
80	4250	39859
80	4000	38706
80	3750	37534
80	3500	36073
80	3250	34620
80	3000	32949
80	2750	31032
80	2500	29384
80	2250	27769
80	2000	26080
80	1750	23983
80	1500	21668
80	1250	19755
80	1000	17439
80	750	14508
80	500	11441
80	250	6814
80	100	3711
80	75	3374
80	50	2524
80	25	1550
80	10000	65330
80	9750	64387
80	9500	63012
80	9250	62283
80	9000	61452
80	8750	60641
80	8500	59854
80	8250	58635
80	8000	57644
80	7750	56122
80	7500	54433
80	7250	53663
80	7000	52568
80	6750	51466
80	6500	50667
80	6250	49392
80	6000	48122
80	5750	46429
80	5500	45280
80	5250	44093
80	5000	42607
80	4750	41169
80	4500	39899
80	4250	38459
80	4000	37427
80	3750	36153
80	3500	34874
80	3250	33627
80	3000	31887
80	2750	30904
80	2500	29529
80	2250	27873
80	2000	26235
80	1750	24093
80	1500	22282
80	1250	19935
80	1000	17677
80	750	15113
80	500	12473
80	250	8574
80	100	5356
80	75	4548
80	50	3295
80	25	2721
80	10000	65367
80	9750	64652
80	9500	64077
80	9250	63184
80	9000	62212
80	8750	61447
80	8500	60597
80	8250	59761
80	8000	58311
80	7750	57284
80	7500	56353
80	7250	55552
80	7000	54549
80	6750	53464
80	6500	52208
80	6250	51178
80	6000	50258
80	5750	48971
80	5500	46894
80	5250	45662
80	5000	44596
80	4750	43281
80	4500	42052
80	4250	40821
80	4000	39545
80	3750	38069
80	3500	36258
80	3250	34920
80	3000	33057
80	2750	31393
80	2500	29580
80	2250	27850
80	2000	25842
80	1750	24287
80	1500	22379
80	1250	19992
80	1000	17479
80	750	15173
80	500	12200
80	250	8546
80	100	5157
80	75	4657
80	50	3294
80	25	2071
80	10000	65687
80	9750	64670
80	9500	64076
80	9250	63013
80	9000	62265
80	8750	61566
80	8500	59947
80	8250	58623
80	8000	57645
80	7750	56580
80	7500	55712
80	7250	54706
80	7000	53627
80	6750	52686
80	6500	51502
80	6250	50337
80	6000	49085
80	5750	47848
80	5500	46552
80	5250	45805
80	5000	44531
80	4750	43375
80	4500	41962
80	4250	40626
80	4000	39320
80	3750	37697
80	3500	36284
80	3250	34813
80	3000	33127
80	2750	31494
80	2500	29639
80	2250	27972
80	2000	26032
80	1750	24462
80	1500	22499
80	1250	19040
80	1000	16174
80	750	13778
80	500	10858
80	250	7010
80	100	4563
80	75	3974
80	50	2816
80	25	2161
80	10000	65226
80	9750	63656
80	9500	62817
80	9250	61823
80	9000	60816
80	8750	59803
80	8500	58946
80	8250	58044
80	8000	56708
80	7750	55577
80	7500	54257
80	7250	53301
80	7000	52363
80	6750	51272
80	6500	50263
80	6250	48831
80	6000	47613
80	5750	46221
80	5500	45077
80	5250	43835
80	5000	42692
80	4750	41450
80	4500	40383
80	4250	39247
80	4000	37869
80	3750	35752
80	3500	33843
80	3250	32411
80	3000	30830
80	2750	29717
80	2500	28171
80	2250	26346
80	2000	24788
80	1750	22824
80	1500	21203
80	1250	18824
80	1000	16385
80	750	13497
80	500	10205
80	250	7192
80	100	4688
80	75	4042
80	50	2853
80	25	1565
80	10000	64749
80	9750	63896
80	9500	62891
80	9250	62104
80	9000	61283
80	8750	60458
80	8500	59654
80	8250	58893
80	8000	57851
80	7750	56877
80	7500	56175
80	7250	55289
80	7000	54157
80	6750	52956
80	6500	51955
80	6250	50511
80	6000	49109
80	5750	48132
80	5500	47076
80	5250	45969
80	5000	44619
80	4750	43277
80	4500	41671
80	4250	40347
80	4000	39031
80	3750	37279
80	3500	35870
80	3250	33987
80	3000	32535
80	2750	30971
80	2500	28650
80	2250	26787
80	2000	25141
80	1750	23511
80	1500	22108
80	1250	19629
80	1000	17401
80	750	15068
80	500	11477
80	250	7846
80	100	4633
80	75	3883
80	50	3464
80	25	2423
80	10000	65198
80	9750	64341
80	9500	63537
80	9250	62474
80	9000	61793
80	8750	60609
80	8500	59695
80	8250	58924
80	8000	57682
80	7750	56818
80	7500	55755
80	7250	54690
80	7000	53472
80	6750	52663
80	6500	51490
80	6250	50280
80	6000	49200
80	5750	47762
80	5500	46456
80	5250	45364
80	5000	44064
80	4750	42872
80	4500	41453
80	4250	40153
80	4000	39084
80	3750	37573
80	3500	36174
80	3250	34284
80	3000	32809
80	2750	30879
80	2500	28716
80	2250	26989
80	2000	25458
80	1750	23444
80	1500	21191
80	1250	18967
80	1000	16414
80	750	13422
80	500	10562
80	250	6482
80	100	3598
80	75	2954
80	50	2507
80	25	1255
80	10000	65535
80	9750	64482
80	9500	63296
80	9250	62555
80	9000	61776
80	8750	60369
80	8500	59279
80	8250	58153
80	8000	57267
80	7750	55920
80	7500	55093
80	7250	54136
80	7000	52880
80	6750	51887
80	6500	50739
80	6250	49527
80	6000	48571
80	5750	47114
80	5500	45921
80	5250	44730
80	5000	43643
80	4750	42026
80	4500	40592
80	4250	39526
80	4000	38265
80	3750	37062
80	3500	35644
80	3250	34363
80	3000	32893
80	2750	31165
80	2500	29488
80	2250	27891
80	2000	26206
80	1750	24079
80	1500	21813
80	1250	19535
80	1000	17293
80	750	14436
80	500	12490
80	250	9600
80	100	5540
80	75	4262
80	50	3015
80	25	2305
80	10000	65481
80	9750	64629
80	9500	63464
80	9250	62694
80	9000	62017
80	8750	60866
80	8500	59893
80	8250	58957
80	8000	57497
80	7750	56575
80	7500	55553
80	7250	54546
80	7000	53044
80	6750	51908
80	6500	50914
80	6250	49949
80	6000	49037
80	5750	47780
80	5500	46590
80	5250	45626
80	5000	44577
80	4750	43154
80	4500	42157
80	4250	40919
80	4000	39143
80	3750	37306
80	3500	35650
80	3250	34535
80	3000	33364
80	2750	31914
80	2500	29830
80	2250	28292
80	2000	26310
80	1750	24617
80	1500	22726
80	1250	20873
80	1000	17995
80	750	15550
80	500	12948
80	250	7826
80	100	4690
80	75	3434
80	50	2810
80	25	1510
80	10000	64905
80	9750	64106
80	9500	62916
80	9250	61764
80	9000	60591
80	8750	59595
80	8500	59020
80	8250	57941
80	8000	57101
80	7750	56254
80	7500	55253
80	7250	54206
80	7000	52978
80	6750	51957
80	6500	50787
80	6250	49174
80	6000	48220
80	5750	47068
80	5500	46048
80	5250	44180
80	5000	42852
80	4750	41230
80	4500	39882
80	4250	38774
80	4000	37138
80	3750	35637
80	3500	34341
80	3250	32905
80	3000	31422
80	2750	29836
80	2500	28303
80	2250	26865
80	2000	25308
80	1750	23115
80	1500	21266
80	1250	19104
80	1000	16473
80	750	13724
80	500	11665
80	250	7646
80	100	4685
80	75	3656
80	50	3096
80	25	1452
70	10000	65552
70	9750	64685
70	9500	63783
70	9250	62911
70	9000	62113
70	8750	61307
70	8500	60340
70	8250	59544
70	8000	58776
70	7750	57145
70	7500	55677
70	7250	54632
70	7000	53574
